в,21780
не,18276
что,12397
его,11813
то,4761
она,4317
же,4125
так,3573
ему,3491
во,2373
тебя,2306
был,2230
вот,2119
бы,1886
пред,1836
ее,1805
до,1654
господа,1624
который,1557
только,1541
всех,1537
них,1529
есть,1420
вам,1321
нет,1306
или,1281
будут,1245
царь,1237
себя,1226
тогда,1221
своего,1185
теперь,1158
над,1138
мой,1124
со,1022
человек,993
ей,987
уже,984
против,962
сына,937
сынов,924
своих,916
дом,915
царя,893
один,865
говорил,862
твой,833
своей,778
том,761
свои,751
сердце,751
после,732
имя,732
может,730
нам,730
ничего,729
иисус,728
этого,712
сделал,707
которое,704
твоих,698
моего,695
очень,691
кити,661
своим,654
ещё,638
отца,629
всем,616
прежде,597
дал,591
буду,581
нему,572
пришёл,552
тобою,538
взял,528
сего,516
итак,515
давид,512
много,512
чего,508
которую,490
эти,467
два,464
пошёл,446
будешь,445
три,438
дела,432
доме,431
каждый,427
глаза,425
больше,424
надо,424
степан,423
моих,420
должен,417
одного,414
те,414
своему,414
моисей,411
дней,411
своими,396
александрович,395
ныне,394
которая,392
лучше,387
хотя,386
делать,374
хорошо,374
люди,371
среди,370
смерти,368
тому,355
знал,353
тотчас,348
нее,348
иерусалим,348
горе,344
твою,342
вами,338
народу,336
скажи,331
нашего,329
перед,328
жертву,324
голову,324
своём,321
оно,321
брата,316
пошли,313
которой,313
кого,312
поставил,310
пять,308
говорю,305
господня,303
пути,301
никогда,300
моим,297
лицо,290
друг,289
которым,287
моисею,285
здесь,280
мир,278
собою,276
давида,273
будете,273
левина,272
сии,270
богом,266
эту,266
жена,266
брат,261
увидел,261
дети,257
нужно,257
матери,257
одна,255
разве,254
жену,253
сто,252
мать,251
израилевы,251
двух,250
должны,249
видеть,246
христа,246
душу,241
можно,241
многие,241
вместо,239
наш,238
нами,237
муж,235
спросил,234
стали,230
колена,229
наших,228
сделали,228
первый,225
врагов,224
своею,223
какой,222
уста,219
моему,219
совершенно,218
думал,217
море,216
придёт,215
сколько,215
этим,214
отцов,214
той,213
родил,213
четыре,213
чувствовал,212
месяца,212
царей,212
такое,211
зло,210
услышал,209
про,208
человеку,207
вронского,205
саул,205
другого,205
начал,204
возьми,204
пустыне,204
народом,203
рук,203
вокруг,202
меч,202
всему,200
ворот,194
царём,194
ту,193
какие,192
скинии,191
иванович,191
раба,188
тысячи,187
локтей,185
вашего,184
этих,183
иуда,183
взяли,183
слов,182
собрания,180
веки,179
другие,178
мысли,177
совсем,174
двенадцать,174
знаете,173
человеческий,172
чувство,172
подле,171
сорок,171
храм,171
уст,170
иметь,168
грехи,168
слышал,168
братья,167
мира,167
иаков,166
поразил,164
идёт,163
многих,162
хлеба,161
разговор,160
вывел,159
нынче,158
даст,157
воцарился,156
такой,156
смерть,155
давно,154
которому,154
навстречу,153
соломон,152
чём,152
сделай,152
дочерей,151
вошёл,151
руками,151
сторону,150
александровна,150
глаз,149
этому,149
написано,149
приношение,148
жене,148
жителей,148
хочу,148
ах,148
духом,147
ею,146
самое,146
минуту,146
нем,144
завтра,143
взяв,143
жители,143
дому,143
дерева,143
именем,142
мечом,142
войско,142
ионафан,142
одну,141
вовек,141
зная,140
взять,140
пророков,139
израилевым,138
египта,138
всесожжения,138
твоими,137
услышав,137
какая,137
любит,137
письмо,137
ведь,137
христос,137
рукою,136
та,136
славы,136
жив,135
огнём,135
ими,135
отцы,134
ходил,133
мало,132
господина,131
жён,131
родила,131
алексея,130
прямо,130
всесожжение,130
обратился,130
долго,129
брату,129
силою,128
страх,128
завета,128
пророка,127
меча,127
кажется,126
сила,126
правду,126
продолжал,126
точно,125
таки,125
братия,125
другое,125
собой,124
впрочем,124
почти,124
головы,123
стоял,123
вина,122
великий,122
род,121
говорите,121
нашёл,121
одежду,121
слову,121
понимаю,120
святилище,120
отвечала,120
верно,120
иосиф,119
сотворил,119
оба,119
моисея,119
вопрос,119
мысль,119
думать,119
радость,118
иуды,118
сделает,117
собрались,117
сюда,116
своем,116
общество,116
руках,116
именно,115
мудрость,113
конец,112
пойду,112
чему,112
второй,112
месяц,112
радости,111
пётр,111
египет,111
будучи,110
ясно,110
рода,109
шли,108
среды,108
семьдесят,108
любил,108
доброе,107
иудейского,107
твоею,106
иначе,106
никакого,105
